Date,Open,High,Low,Close,Adj Close,Volume
1996-03-27,15.800000,15.800000,15.800000,15.800000,10.209262,0
1996-03-28,15.820000,15.820000,15.820000,15.820000,10.222185,0
1996-03-29,15.780000,15.780000,15.780000,15.780000,10.196341,0
1996-04-01,15.950000,15.950000,15.950000,15.950000,10.306191,0
1996-04-02,15.990000,15.990000,15.990000,15.990000,10.332036,0
1996-04-03,16.010000,16.010000,16.010000,16.010000,10.344954,0
1996-04-04,16.020000,16.020000,16.020000,16.020000,10.351419,0
1996-04-08,15.750000,15.750000,15.750000,15.750000,10.176954,0
1996-04-09,15.740000,15.740000,15.740000,15.740000,10.170493,0
1996-04-10,15.560000,15.560000,15.560000,15.560000,10.054182,0
1996-04-11,15.470000,15.470000,15.470000,15.470000,9.996031,0
1996-04-12,15.600000,15.600000,15.600000,15.600000,10.080035,0
1996-04-15,15.730000,15.730000,15.730000,15.730000,10.164036,0
1996-04-16,15.820000,15.820000,15.820000,15.820000,10.222185,0
1996-04-17,15.740000,15.740000,15.740000,15.740000,10.170493,0
1996-04-18,15.800000,15.800000,15.800000,15.800000,10.209262,0
1996-04-19,15.850000,15.850000,15.850000,15.850000,10.241570,0
1996-04-22,15.940000,15.940000,15.940000,15.940000,10.299725,0
1996-04-23,16.040001,16.040001,16.040001,16.040001,10.364340,0
1996-04-24,16.040001,16.040001,16.040001,16.040001,10.364340,0
1996-04-25,16.110001,16.110001,16.110001,16.110001,10.409574,0
1996-04-26,16.139999,16.139999,16.139999,16.139999,10.428957,0
1996-04-29,16.160000,16.160000,16.160000,16.160000,10.441880,0
1996-04-30,16.160000,16.160000,16.160000,16.160000,10.441880,0
1996-05-01,16.200001,16.200001,16.200001,16.200001,10.467728,0
1996-05-02,15.950000,15.950000,15.950000,15.950000,10.306191,0
1996-05-03,15.920000,15.920000,15.920000,15.920000,10.286801,0
1996-05-06,15.900000,15.900000,15.900000,15.900000,10.273879,0
1996-05-07,15.840000,15.840000,15.840000,15.840000,10.235113,0
1996-05-08,15.940000,15.940000,15.940000,15.940000,10.299725,0
1996-05-09,15.980000,15.980000,15.980000,15.980000,10.325574,0
1996-05-10,16.150000,16.150000,16.150000,16.150000,10.435420,0
1996-05-13,16.370001,16.370001,16.370001,16.370001,10.577572,0
